"contrast","gene_id","gene_symbol","effect","p_exact","q_storey"
"R_Tumor","ENSG00000130787.14","HIP1R",0.855555555555556,0.00113035885010579,0.0793079109945445
"R_Tumor","ENSG00000102858.13","MGRN1",0.844444444444444,0.00114220892252929,0.0793079109945445
"R_Tumor","ENSG00000142784.16","WDTC1",0.85,0.00116682946135093,0.0793079109945445
"R_Tumor","ENSG00000107021.16","TBC1D13",0.872222222222222,0.00116832510155972,0.0793079109945445
"R_Tumor","ENSG00000146918.20","NCAPG2",0.15,0.001176263499591,0.0793079109945445
"R_Tumor","ENSG00000176261.15","ZBTB8OS",0.155555555555556,0.00117672369657832,0.0793079109945445
"R_Tumor","ENSG00000148688.14","RPP30",0.15,0.00117890963226809,0.0793079109945445
"R_Tumor","ENSG00000165304.8","MELK",0.15,0.00117890963226809,0.0793079109945445
"R_Tumor","ENSG00000115163.15","CENPA",0.144444444444444,0.00117948487850224,0.0793079109945445
"R_Tumor","ENSG00000134198.10","TSPAN2",0.144444444444444,0.00118167081419201,0.0793079109945445
"R_Tumor","ENSG00000051180.17","RAD51",0.15,0.00118477714385643,0.0793079109945445
"R_Tumor","ENSG00000169057.24","MECP2",0.855555555555556,0.00119075970469159,0.0793079109945445
"R_Tumor","ENSG00000186866.17","POFUT2",0.855555555555556,0.0011930606896282,0.0793079109945445
"R_Tumor","ENSG00000029153.14","ARNTL2",0.15,0.0011942111820965,0.0793079109945445
"R_Tumor","ENSG00000134001.15","EIF2S1",0.15,0.00120583115602634,0.0793079109945445
"R_Tumor","ENSG00000068394.11","GPKOW",0.85,0.00121492004652592,0.0793079109945445
"R_Tumor","ENSG00000244242.2","IFITM10",0.155555555555556,0.00121595548974739,0.0793079109945445
"R_Tumor","ENSG00000183578.8","TNFAIP8L3",0.138888888888889,0.00124598334317004,0.0793079109945445
"R_Tumor","ENSG00000182013.18","PNMA8A",0.85,0.00126093974525796,0.0793079109945445
"R_Tumor","ENSG00000169860.7","P2RY1",0.161111111111111,0.00128130346194689,0.0793079109945445
"R_Tumor","ENSG00000101997.13","CCDC22",0.85,0.00128153356044055,0.0793079109945445
"R_Tumor","ENSG00000164932.13","CTHRC1",0.15,0.00128291415140251,0.0793079109945445
"R_Tumor","ENSG00000123810.9","B9D2",0.838888888888889,0.00128579038257326,0.0793079109945445
"R_Tumor","ENSG00000108384.15","RAD51C",0.161111111111111,0.00128889671223767,0.0793079109945445
"R_Tumor","ENSG00000143110.12","C1orf162",0.155555555555556,0.00129349868211088,0.0793079109945445
"R_Tumor","ENSG00000198026.8","ZNF335",0.85,0.00129384382985137,0.0793079109945445
"R_Tumor","ENSG00000136754.18","ABI1",0.15,0.00130396816357242,0.0793079109945445
"R_Tumor","ENSG00000085760.15","MTIF2",0.155555555555556,0.0013211105013501,0.0793079109945445
"R_Tumor","ENSG00000124784.9","RIOK1",0.15,0.00134826212360201,0.0793079109945445
"R_Tumor","ENSG00000137955.16","RABGGTB",0.127777777777778,0.00135412963519034,0.0793079109945445
"R_Tumor","ENSG00000108852.15","MPP2",0.855555555555556,0.00136057239301283,0.0793079109945445
"R_Tumor","ENSG00000171148.13","TADA3",0.838888888888889,0.00137173216995535,0.0793079109945445
"R_Tumor","ENSG00000188167.9","TMPPE",0.844444444444444,0.0013784050262715,0.0793079109945445
"R_Tumor","ENSG00000176472.10","ZNF575",0.877777777777778,0.00139876874296042,0.0793079109945445
"R_Tumor","ENSG00000150093.20","ITGB1",0.138888888888889,0.00140797268270683,0.0793079109945445
"R_Tumor","ENSG00000114942.14","EEF1B2",0.161111111111111,0.0014174067209469,0.0793079109945445
"R_Tumor","ENSG00000117650.13","NEK2",0.15,0.0014185572134152,0.0793079109945445
"R_Tumor","ENSG00000134186.12","PRPF38B",0.15,0.00141993780437716,0.0793079109945445
"R_Tumor","ENSG00000169026.13","SLC49A3",0.861111111111111,0.00142499997123769,0.0793079109945445
"R_Tumor","ENSG00000177427.13","MIEF2",0.85,0.00142787620240844,0.0793079109945445
"R_Tumor","ENSG00000198863.7","RUNDC1",0.844444444444444,0.00143144272906017,0.0793079109945445
"R_Tumor","ENSG00000134419.15","RPS15A",0.155555555555556,0.00144582388491394,0.0793079109945445
"R_Tumor","ENSG00000099995.19","SF3A1",0.872222222222222,0.00146158563172966,0.0793079109945445
